time,volume,mid_open,mid_high,mid_low,mid_close,bid_close,ask_close,spread
2025-11-07 14:00:00+00:00,8755,1.15676,1.15788,1.15656,1.15734,1.15726,1.15743,0.00017000000000000348
2025-11-07 15:00:00+00:00,10864,1.15732,1.15911,1.15714,1.15717,1.15709,1.15725,0.00015999999999993797
2025-11-07 16:00:00+00:00,5873,1.1572,1.15822,1.15714,1.15776,1.15769,1.15784,0.00014999999999987246
2025-11-07 17:00:00+00:00,4390,1.15777,1.15821,1.15714,1.15804,1.15797,1.15812,0.0001500000000000945
2025-11-07 18:00:00+00:00,3302,1.15805,1.15836,1.15676,1.15683,1.15675,1.15691,0.00016000000000016001
2025-11-07 19:00:00+00:00,4650,1.15682,1.15728,1.15554,1.15596,1.15588,1.15603,0.00014999999999987246
2025-11-07 20:00:00+00:00,3690,1.15593,1.15668,1.15576,1.15644,1.15637,1.15652,0.0001500000000000945
2025-11-07 21:00:00+00:00,1901,1.15644,1.1567,1.1559,1.15664,1.15652,1.15677,0.0002500000000000835
2025-11-09 22:00:00+00:00,545,1.15578,1.15594,1.15556,1.15574,1.15546,1.15601,0.0005500000000000504
2025-11-09 23:00:00+00:00,4357,1.15578,1.15596,1.15416,1.15432,1.15425,1.1544,0.0001500000000000945
2025-11-10 00:00:00+00:00,6587,1.15435,1.156,1.15431,1.15544,1.15537,1.15552,0.0001500000000000945
2025-11-10 01:00:00+00:00,5131,1.15547,1.15605,1.15466,1.15582,1.15575,1.1559,0.00014999999999987246
2025-11-10 02:00:00+00:00,2909,1.15582,1.15608,1.15548,1.1558,1.15572,1.15588,0.00015999999999993797
2025-11-10 03:00:00+00:00,2869,1.15578,1.15586,1.15512,1.15546,1.15537,1.15555,0.000180000000000069
2025-11-10 04:00:00+00:00,2648,1.15548,1.15626,1.15548,1.1561,1.15601,1.15619,0.000180000000000069
2025-11-10 05:00:00+00:00,3017,1.1561,1.15666,1.15579,1.1562,1.15612,1.15628,0.00015999999999993797
2025-11-10 06:00:00+00:00,3782,1.1562,1.15649,1.15515,1.15538,1.1553,1.15547,0.00017000000000000348
2025-11-10 07:00:00+00:00,5767,1.15539,1.15721,1.15535,1.15678,1.15669,1.15686,0.00017000000000000348
2025-11-10 08:00:00+00:00,6837,1.15677,1.15831,1.15652,1.15724,1.15716,1.15731,0.0001500000000000945
2025-11-10 09:00:00+00:00,5989,1.15723,1.15739,1.15641,1.15683,1.15675,1.15691,0.00016000000000016001
