time,volume,mid_open,mid_high,mid_low,mid_close,bid_close,ask_close,spread,return_1,log_return,sma_10,sma_20,sma_50,ema_20,momentum_5,momentum_20,volatility_20,rsi_14,atr_14,hour,day_of_week,spread_rolling_mean_20,spread_vs_average,future_return_1,target_up
2025-11-11 15:00:00+00:00,8192,1.16006,1.16032,1.15915,1.15949,1.15941,1.15957,0.0001599999999999,-0.000499969829406921,-0.0005000948559968315,1.157438,1.1565800000000002,1.1563714,1.1571441250024577,0.0021799999999998487,0.0033999999999998476,0.0007353942177488935,72.30255839821926,0.0011528571428571618,15,1,0.00017499999999997002,0.9142857142852995,-0.00012936722179568427,0
2025-11-11 16:00:00+00:00,6308,1.1595,1.15999,1.15906,1.15934,1.15926,1.15941,0.00015,-0.00012936722179568427,-0.00012937559045648323,1.15785,1.1567275000000001,1.1564114,1.1573532559546045,0.0021500000000000963,0.002950000000000008,0.0007374039934905567,72.2222222222225,0.0011821428571428777,16,1,0.00017549999999997,0.8547008547010007,0.00013800955716170016,1
2025-11-11 17:00:00+00:00,3399,1.15933,1.15992,1.15908,1.1595,1.15941,1.15958,0.00017,0.00013800955716170016,0.00013800003471888152,1.1582,1.156917,1.156458,1.1575577077684516,0.0024599999999999067,0.00378999999999996,0.0007179305888968626,71.78329571106113,0.0012078571428571574,17,1,0.000173999999999975,0.9770114942530139,-0.0002069857697283295,0
2025-11-11 18:00:00+00:00,3179,1.15949,1.15956,1.15912,1.15926,1.15918,1.15935,0.00017,-0.0002069857697283295,-0.00020700719423919476,1.158579,1.1570909999999999,1.156488,1.1577198308381227,-0.0008399999999999519,0.0034799999999999276,0.0007224371415127826,69.35123042505614,0.0012114285714285935,18,1,0.00016199999999997502,1.0493827160495446,-0.0007073477908321468,0
2025-11-11 19:00:00+00:00,3511,1.15926,1.15929,1.15833,1.15844,1.15835,1.15852,0.00017,-0.0007073477908321468,-0.0007075980793150412,1.158774,1.1572285,1.156496,1.157788418377349,-0.0016300000000000203,0.002749999999999808,0.0007462337841556619,62.12765957446741,0.0012264285714285808,19,1,0.00016249999999998,1.046153846153975,-8.632298608468592e-05,0
2025-11-11 20:00:00+00:00,3247,1.15844,1.1589,1.15834,1.15834,1.15826,1.15842,0.0001599999999999,-8.632298608468592e-05,-8.632671212807954e-05,1.158877,1.157384,1.1565262,1.1578409499604587,-0.0011499999999999844,0.003109999999999946,0.0007380751903581203,68.22429906542132,0.0011764285714285863,20,1,0.000163499999999975,0.9785932721707918,-7.769739454732694e-05,0
2025-11-11 21:00:00+00:00,1686,1.15834,1.15856,1.15812,1.15825,1.15817,1.15833,0.0001600000000001,-7.769739454732694e-05,-7.770041314624586e-05,1.1589829999999999,1.1575225,1.156572,1.1578799071070816,-0.0010900000000000354,0.002769999999999939,0.0007392902606084258,64.29479034307624,0.0011278571428571566,21,1,0.000163499999999985,0.9785932721719552,0.0002676451543277558,1
2025-11-11 22:00:00+00:00,1392,1.1587,1.15872,1.15828,1.15856,1.15844,1.15869,0.00025,0.0002676451543277558,0.0002676093437529803,1.1591349999999998,1.1576835,1.1566144,1.157944677858788,-0.0009399999999999409,0.0032200000000000006,0.0007377256523406087,70.19607843137355,0.0010628571428571432,22,1,0.000167499999999985,1.4925373134329696,0.00010357685402562211,1
2025-11-11 23:00:00+00:00,1147,1.15857,1.15872,1.15822,1.15868,1.15859,1.15877,0.00018,0.00010357685402562211,0.00010357149031364494,1.158993,1.1578355,1.1566552,1.1580147085389034,-0.0005800000000000249,0.0030399999999999316,0.0007372121671630485,66.22222222222257,0.0009921428571428542,23,1,0.00016849999999998,1.0682492581603642,-0.0006472882935755209,0
2025-11-12 00:00:00+00:00,3194,1.15868,1.15869,1.1579,1.15793,1.15785,1.15801,0.0001599999999999,-0.0006472882935755209,-0.0006474978750876738,1.158779,1.1579419999999998,1.156699,1.158006641059008,-0.0005100000000000104,0.0021299999999999653,0.0007574868455485048,54.64071856287337,0.0009628571428571384,0,2,0.000167999999999975,0.9523809523804988,-0.00031953572323017987,0
